,0,labels,Name
0,"RRAM characteristics by measuring more 50 randomly picked devices in a new Cr/GdOx/TiN structure have been investigated. HRTEM images confirm that a GdOx material exists as polycrystalline and thickness of GdOx layer is 17 nm. The GdOx film is also confirmed by EDS and XPS analyses. Large size of the 8-μm devices show better resistive switching charac- teristics as compared to those small size of the 0.4-μm devices at a CC of 300 μA under low operating voltage of ±4 V, which is due to higher oxygen recombination rate of oxygen with remaining conducting filament in the GdOx film as well as larger TE/GdOx interfacial area. Switching mechanism is based on formation and rupture of the oxygen vacancy conducting filaments through the GdOx grain boundaries. The 8-μm devices show repeatable switching cycles, good device-to-device uniformity, and long read pulse endurance of >105 cycles. Memory device also performs excellent data retention of more than 3 × 104 s with a high resistance ratio of >70. Therefore, the Cr/GdOx/TiN RRAM device shows a great potential for future nanoscale non-volatile memory application.",-1,-1_gdys_gdox_kn_rrams
1,"Resistive switching behaviors in bio‐organic aloe polysaccharides films deposited from a solution process were explored for nonvolatile memory applications. Facile extraction of aloe polysaccharides from natural A. vera gel was demonstrated using a simple alcohol precipitation protocol. The extracted aloe polysaccharides were optimally dried into thin films at 120 °C, with well preservation of the biodegradable, biocompatible, and bioactive contents. The optimal drying temperature reported here is considered higher if compared to the normal processing temperature (≈70 °C) of natural A. vera gel. Such high drying temperature renders the bio‐organic material a competitive edge for integration into contemporary electronics processing. While resistive switching in bio‐organic MIM stacks are all bipolar, the aloe polysaccharides device is able to demonstrate both bipolar and unipolar resistive switching, depending on the TE materials used in the MIM stacks. The resistive switching behaviors of the polysaccharides device can be elucidated to three distinct switching mechanisms attributed to various electronic, electrochemical, and thermochemical processes in the aloe polysaccharides films. These electrically triggered physicochemical processes show great differences in terms of mobile charges, driving forces, switching regions, and switching processes. Coexistence of distinct switching mechanisms has never been the case for other bio‐organic devices. The devices are able to deliver competitive performances, including a read memory windows as wide as 5.2 V (Mg/aloe polysaccharides/ITO) and an ON/OFF ratio as large as ≈107 (Cu/aloe polysaccharides/ITO), which allows them to be operational even in noisy environments. The ease of fabrication using a solution process, coupled with the green, biocompatible, and low‐cost aloe polysaccharides extracted from naturally occurring A. vera gel that yield excellent performances make the bio‐organic device a promising candidate for next‐generation nonvolatile memories.",22,0_agsicnpt_tiopc_memory operations_tristate
2,"Resistive switching behaviors in bio‐organic aloe polysaccharides films deposited from a solution process were explored for nonvolatile memory applications. Facile extraction of aloe polysaccharides from natural A. vera gel was demonstrated using a simple alcohol precipitation protocol. The extracted aloe polysaccharides were optimally dried into thin films at 120 °C, with well preservation of the biodegradable, biocompatible, and bioactive contents. The optimal drying temperature reported here is considered higher if compared to the normal processing temperature (≈70 °C) of natural A. vera gel. Such high drying temperature renders the bio‐organic material a competitive edge for integration into contemporary electronics processing. While resistive switching in bio‐organic MIM stacks are all bipolar, the aloe polysaccharides device is able to demonstrate both bipolar and unipolar resistive switching, depending on the TE materials used in the MIM stacks. The resistive switching behaviors of the polysaccharides device can be elucidated to three distinct switching mechanisms attributed to various electronic, electrochemical, and thermochemical processes in the aloe polysaccharides films. These electrically triggered physicochemical processes show great differences in terms of mobile charges, driving forces, switching regions, and switching processes. Coexistence of distinct switching mechanisms has never been the case for other bio‐organic devices. The devices are able to deliver competitive performances, including a read memory windows as wide as 5.2 V (Mg/aloe polysaccharides/ITO) and an ON/OFF ratio as large as ≈107 (Cu/aloe polysaccharides/ITO), which allows them to be operational even in noisy environments. The ease of fabrication using a solution process, coupled with the green, biocompatible, and low‐cost aloe polysaccharides extracted from naturally occurring A. vera gel that yield excellent performances make the bio‐organic device a promising candidate for next‐generation nonvolatile memories.",22,1_wox_vdw_highk_hfs2
3,"RRAM characteristics by measuring more 50 randomly picked devices in a new Cr/GdOx/TiN structure have  been investigated. HRTEM images  confirm that a  GdOx material exists as polycrystalline and thickness  of GdOx layer is 17 nm. The GdOx film is also  confirmed by EDS and XPS analyses. Large size of the  8-μm devices show better resistive switching charac-  teristics as compared to those small size of the 0.4-μm  devices at a CC of 300 μA under low operating voltage  of ±4 V, which is due to higher oxygen recombination  rate of oxygen with remaining conducting filament in  the GdOx film as well as larger TE/GdOx interfacial  area. Switching mechanism is based on formation and  rupture of the oxygen vacancy conducting filaments  through the GdOx grain boundaries. The 8-μm devices  show repeatable switching cycles, good device-to-device  uniformity, and long read pulse endurance of >105 cycles.  Memory device also performs excellent data retention  of more than 3 × 104 s with a high resistance ratio of >70.  Therefore, the Cr/GdOx/TiN RRAM device shows a  great potential for future nanoscale non-volatile memory  application.",-1,2_srtio3_cer_cer effect_dislocations
4,"Excellent reliability after 100 k cycles and 10 years’ retention at 85 °C after 10 k cycles were demonstrated using an 8 Mbit test vehicle, which was fabricated on a mass production line for 40 nm CMOS-embedded ReRAM. We have developed four technologies (RSE etch, maintain BEOL process/parameter, encapsulated cell, bilayer of Ta2O5) for process integration, which achieved highly reliable memory and compatibility with the standard 40 nm CMOS process.",5,3_kn memristor_problems_plasticity_kn
5,"In conclusion, the C and the R of the TaOx thin film are measured as the reset process progresses. The increase in C while R remains unchanged, before the reset transition, shows that the main phenomenon in the early stage of the reset process is the annihilation reaction of the oxygen va- cancy. The rapid increase of both C and R upon the reset transition is an obvious signature of the rupture of conduct- ing channels. R still increased even after the transition, while C was almost saturated, which could have resulted from the continued change in the inner structure of the film.",10,4_bfo films_bfo_bto_bto films
6,"A self-assembled 2D finned CuS was synthesized via RF Magnetron Sputtering on lightly n-doped Si. This finned material is mostly CuS with small amounts of Cu2S and elemental S. This sputter process streamlines the conventional wet chemical preparation technique, saving resources, yet obtaining low writing and reset voltages. Most importantly, it eliminates the need for multi-layered devices in order to exhibit ReRAM behaviour. The difference in resistance is 2 orders of magnitude within a negative biased effective region of 0.5 V to 0 V. The writing and reset processes were carried out at low voltages of 3 V and 1 V, within a duration of 20 ms. This memory is volatile and returns to a default state of lower resistance within 10 ms. The difference in resistance is hypothesised to be caused by a phase transition between CuS (low resistance) and more copper-rich copper sulfides (high resistance), a result of the polycrystalline finned structure of the CuS.",9,5_modeled_modeled using_nisi_dl
7,"In conclusion, we presented high-performance electronic synapses with ultralow femtojoule energy consumption, fast operation speed, and high “write” linearity using FTJs. By finely tuning the applied pulse parameters, the device can emulate both short- and long-term plasticity. These types of artificial synapses emulate various biological synaptic plasticity by harnessing robust ferroelectric domain switching dynamics accompanied by the manipulation of the conductance states. One simple application by using both LTP and STP is emulating associative learning with the famous classical conditioning Pavlov’s dog experiments. More importantly, we think that coexistence of LTP and STP in the same device could enable designing efficient brainlike architectures. A simulated artificial neural network with supervised learning consisting of these synaptic devices exhibited very high learning accuracies of 96.5% for the UCI image data set and 96.4% for the MNIST handwritten data set. These results demonstrate the device’s potential through ferroelectric domain switching for applications in energy-efficient neuromorphic computing.",39,6_fr ratio_fr_external resistance_size shape
8,"Like most authors reporting the observation of threshold switching in a new material, we were not able to determine with certainty the fundamental mechanism. More experimental data, such as measurements of threshold switching transient behavior, and effects of background temperature and doping level, and electron microscope investigations are needed. Such studies would be worthwhile because of the potential contribution to our understanding of electronic transport processes in silicon thin films.",14,7_moo3_zncrtio_neutral oxygen_ndr peak
9,"A series of new oxyphenyl-based polymers have been synthesized by the postmodification reactions of PEM with various oxybenzyl alcohol derivatives: PEM-BzOMe, PEMBzOMe2, PEM-BzO2C, and PEM-BzOMe3. The polymers exhibit thermal stability up to 180 °C or higher temperatures. They are easily processed via conventional spin-coating and subsequent drying processes to produce amorphous high quality nanoscale films with low surface roughness. Their various properties have been characterized: glass transition temperature, electron and mass densities, molecular orbitals, and band gap.",67,8_li1_oop_poxbp_mems
