text,label
"Metal dopants play an important role in the resistive switching mechanism of HfO2-based resistive random access memory (RRAM), which can improve the performance of the RRAM device. Although Cu and Gd ions as metal dopants were widely explored, Au dopant is little focused so far. So the effects of Au doping in defect-free m-HfO2 using the first-principles calculation were investigated in this paper, with the purpose of revealing the contribution of dopants in the forming process of conducting filaments (CFs). Based on the first principle, the statistical models are firstly built to simulate the system of the Au-doped m-HfO2 with and without an oxygen vacancy (Vo). Then the electronic properties, the charge transfer of atoms, and the interaction between Au dopants and Vos are calculated and analyzed. The results show that the formation energy of the Au-dopant at the interstitial site is 5.673eV less than that of the Au-dopant at the substitutional site, which means the interstitial site is found to be the more stable position. Moreover, the interstitial Au dopant induces gap states of Hf and O atoms into the band gap of m- HfO2. As a result, the conductivity of the Au-HfO2 and the Au-HfO2-Vo systems is enhanced substantially. The results of the DOS, the band structure and the partial charge density show that the intermediate energy level crosses over the Fermi level and the electrons could connect the Audopant with nearby Hf atoms. According to these results, it is found that the Au CFs can be generated in the process of doping. In addition, the Vos at different positions near the Au-dopant have diverse formation energies, which highly indicate that these Vos are involved in the forming of the CFs. It may be concluded that the Vos CFs and the Au-dopants can be formed and play a role in the process of the resistive switching.",Abstract
"With the development of memories, non-volatile memories have drawn more and more attention due to their low energy consumption. In the family of non-volatile memories, resistive random access memory (RRAM) is one of the most promising members that have a great potential application in the future. The typical structure of RRAM cells is the simple metal-insulator-metal (MIM) sandwich configuration. There are many choices of the resistive switching materials, among which HfO2 makes itself striking because of its thermodynamic stability, high break-down electric filed, simple constituent and compatibility in the process of complementary metal oxide semiconductor (CMOS) field effect transistor [1]. All the time, the resistive switching mechanism in the HfO2-based RRAM has been widely studied.",Introduction
"At present, the physical mechanism based on the conducting filaments (CFs) theory in HfO2 is believed to be the dominating mechanism in most cases [1?6]. There are two kind microscopic mechanisms of CFs, which are the oxygen vacancies (Vos) filament and metal ions filament, respectively. Vos filament is usually generated during the migration process of Vos under biased voltage. Metal filament formed by the migration of metal ions which come from metal dopants in HfO2 or oxidation of electrode during the process of the resistive switching. Besides, there are complex interactions between the metal ions and Vos. Haemori et al. reported Cu can diffuse from the electrode into the HfO2 layer, which results in the formation of the Cu conductive filaments (Cu CFs) [5]. Wang et al. also demonstrated the existence of the Cu CFs in the HfO2 thin film. Additionally, a layer of Cu was inserted in HfO2 in order to increase the concentration of Cu dopants [6]. However, one problem is that the randomicity of the CFs' formation, which always leads to poor uniformity of the resistive switching behaviors [7?9]. Metal Al [10] and Gd [11,12] as the dopants were also studied both experimentally and theoretically, whose results show that the properties of the resistive switching materials can be altered and hence the performance of RRAM devices were improved. But not all dopants contribute to the formation of the metal CFs. Dai et al. investigated eleven metal dopants in the HfO2-based RRAM. Their researches find that the conduction filament in HfO2 is directly formed by the interstitial metals rather than the substitutional metals, and the interstitial metal dopants have a strong assistant effect on the Vos CFs while the substitutional metal dopants have a minor assistant effect on the Vos CFs [13].",Introduction
"It was reported that devices based on Au-doped HfO2 show improved uniformity, increased ON/OFF ratio, and reduced set voltage [14]. However, since Au is a member of coinage metals, few people refer to the effects of Au dopant. In this paper, the effects of Au dopant in m-HfO2-based RRAM are investigated in theory. First-principles calculations are carried out to study Au-doped m-HfO2 with and without Vos (Au-HfO2 and Au-HfO2-Vo). Electronic structures of these two systems, charge transfer of atoms, and the interaction between Au dopants and Vos are studied and analyzed. Finally, the contribution of the Au dopants in the formation of the CFs is revealed.",Introduction
"First-principles calculations are based on the density functional theory (DFT) with the Perdew Burke Ernzerhof (GGA-PBE) [15] for the exchange correlation potential. Projector-augmented wave (PAW) potentials are used for the description of ion-electron interactions [16]. The energy cutoff for the plane-wave basis is chosen to be 400 eV and the Brillouin zone is sampled at the ¥Ã point. Gaussian broadening is used with a width of 0.1 eV to smear the density of states. Monoclinic HfO2 supercell of 96 atoms is built. One Au atom is put into the interstitial and substitutional sites respectively as the dopant, and one O atom is removed as the oxygen vacancy. All the calculations are carried out by VASP. The optimized structural parameters are given in Table 1, and differences from other work and experimental data are within 2%.",Methods
"In order to study the possible behavior of Au doping in m-HfO2, the doped Au atom occupying different positions in the lattice, such as three interstitial positions (Position 1, Position 2, and Position 3) and a substitutional position, are considered. As shown in Fig. 1, the original interstitial positions are determined by the coordinates of four O atoms surrounding the Au dopant. For the substitutional position, the site of one Hf atom near the center of the supercell is chosen. Whether a position is favored or not is decided by the formation energy of the dopant. The lower the formation energy, the higher the chance that the Au dopant is in this position will be. The formation energy Efor (D) of a neutral defect D can be calculated by the following equation (1) [17].",Main
"In this section, the band structure, the density of states (DOS) and the partial charge density are calculated to investigate the electronic structures of the Au-HfO2 system. The model of Au doped in m-HfO2 is a supercell in which initial position of the Au dopant is position 1. Fig. 2 (a) displays the two intermediate energy levels in the band gap of m-HfO2 introduced by the interstitial Au dopant. The upper one (the red line in Fig. 2 (a)) crosses over the Fermi level and is close to the bottom of the conduction band, which means the conductivity of m-HfO2 has been enhanced. These two intermediate energy levels are consistent with the total gap states in Fig. 2 (c). There is a peak appear at about ?2.5eV, while another one is at the Fermi level. The gap states near ?2.5eV are mainly derived from O-p states and Au-d states. Those around the Fermi level are mainly composed of O-p states, Au-s states, and Hf-d states. Compared the intensity of the partial DOS (PDOS) of Au, Hf and O atoms, the Au dopant itself only contributes a small part to the total gap states. What matters more is that the Au doped in HfO2 can induce the gap states of O and Hf atoms.",Main
"The isosurface plots of partial charge density for the two intermediate energy levels are shown in Fig. 3, which confirms our results above. In Fig. 3 (a), the electrons are gathered around the Au dopant, indicating that the O-p states, Au-s states, and Hf-d states contribute to the upper intermediate energy level. The electrons connect the Au dopant with nearby Hf atoms, leading to the formation of the conductive path. In Fig. 3 (b), the electrons are accumulated near the Au dopant and O atoms, which correspond to the contribution of O-p states and Au-d states to the lower intermediate energy level. Moreover, it's pretty clear that the electrons near O atoms form a shape of dumbbell, which is the typical shape of p orbitals. Those electrons around Au dopant form a shape of flower, which is the typical shape of d orbitals.",Main
"Fig. 4 shows that the local DOS (LDOS) of Hf atoms (Hf18, Hf19, and Hf29) and O atoms (O57, O63, and O35) near the Au dopant. The similar features appear in Figs. 2 and 4 (c). For the Hf atoms, the lower valence band is mainly consisted of s orbital electrons and d orbital electrons. The upper valence band and the conduction band are mainly consisted of d orbital electrons. For the O atoms, the lower and upper valence bands are mostly composed of s orbital electrons and p orbital electrons respectively. The density of states of the conduction band is relatively low. The O and Hf atoms closing to the Au-dopant are unique because they own gap states. The gap states of Hf atoms and O atoms are separately derived from d orbital electrons and p orbital electrons. All Hf atoms and O atoms in the Au-HfO2 system devote to forming the gap states. The electronic structures of the Au-HfO2 system demonstrate that the Au dopants directly involve in generating the conducting filaments without the presence of Vos.",Main
"Take the supercell in which the Au dopant originally stays at Position 3 as an example. Nearby O atoms and their distance to the Au dopant are shown in Fig. 5 (a). These O atoms will be removed respectively to create the Vos, of which the formation energies are calculated, and the results are shown in Table 3. The fourfold Vo36, with the smallest distance to the Au dopant, has the lowest formation energy. It's about 3.915eV. The formation energies are different as a result of the different distance to the Au dopant. But the similar trend is not observed in the threefold Vos. Although the distance between Vo41 and the Au dopant is larger than that between Vo5 and the Au dopant, the formation energy of Vo41 is almost the same as that of Vo5. These results are consistent with that dopants can significantly reduce the formation energies of nearby Vos [10,12,13,18]. Moreover, the threefold Vos are easier to form due to their lower formation energies than those of the fourfold Vos. Table 4 shows the lowest formation energy of fourfold or threefold Vos and their distance to the Au dopant. The locations of these Vos are shown in Figs. 4 (a), 5 (a) and (b). For the Au dopant in the different interstitial positions, when Vos have almost the same distance from the Au dopant, their formation energies are the same regardless of the type of Vos. According to the data from Tables 3 and 4, the Vos near the Au dopant are more stable. Vo35 and Vo63 for the Au dopant in position 1 and position 2 as well as Vo5 and Vo41 for the Au dopant in position 3 are the easiest to be created and most likely to participate in the formation of the CFs. The interaction energies of the dopant and the easiest-created threefold or fourfold Vos are calculated. These values are also nearly the same. The average interaction energy of the Au dopant and a threefold Vo is ?4.766eV, and that of the Au dopant and a fourfold Vo is ?2.933eV, which means there is a strong attraction between the dopant and the Vo. This indicates that the Vo CFs are easier to be generated and are probably adjacent to the Au CFs, which is in agreement with the Au dopants' ability to suppress the randomicity of the Vo CFs' formation [14]. Therefore, both the two kinds of CFs play an important role during the process of the resistive switching.",Main
